"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","195","eat few cukes","","Mon Apr 14 23:25:38 MSK 2025","passed","Mon Apr 14 23:25:38 MSK 2025","","Belly","eat few cukes",""
"","6","eat few cukes","","Mon Apr 14 23:25:38 MSK 2025","passed","Mon Apr 14 23:25:38 MSK 2025","","Belly","eat few cukes",""
"","6","eat few cukes","","Mon Apr 14 23:25:38 MSK 2025","passed","Mon Apr 14 23:25:38 MSK 2025","","Belly","eat few cukes",""
"","5","i am full","","Mon Apr 14 23:25:38 MSK 2025","passed","Mon Apr 14 23:25:38 MSK 2025","","Belly","i am full",""
